log_file_path,iteration_no,tor_status,location,codec,caller_pesq_raw,caller_pesq_mos,callee_pesq_raw,callee_pesq_mos,caller_jitter_mean,caller_jitter_median,caller_jitter_max,caller_jitter_range,caller_jitter_iqr,caller_jitter_std_dev,callee_jitter_mean,callee_jitter_median,callee_jitter_max,callee_jitter_range,callee_jitter_iqr,callee_jitter_std_dev
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,16,Tor,10SauPaul-malaysia,g711,3.357,3.351,2.926,2.714,24.9724200743494,24.311,45.863,45.863,1.822,3.71286291051866,30.9913199121523,30.7845,50.615,50.615,3.008,4.17266135427196
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,17,Tor,10SauPaul-malaysia,g711,3.152,3.049,2.784,2.509,25.4638346984363,24.41,55.224,55.224,2.498,5.17554416826218,30.8179831625183,30.1565,63.79,63.79,2.66925,4.88973662313957
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,18,Tor,10SauPaul-malaysia,g711,3.151,3.048,1.507,1.329,25.5643598513011,24.992,52.413,52.413,2.867,4.05506220702607,35.5646845194424,32.092,94.873,94.873,10.0945,13.9135631966957
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,19,Tor,10SauPaul-malaysia,g711,3.047,2.893,2.797,2.527,26.5639374068554,26.2045,49.023,49.023,2.79275,3.83769298656973,32.7813792093704,32.227,60.604,60.604,4.22925,4.87300975957372
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,20,Tor,10SauPaul-malaysia,g711,3.226,3.16,2.907,2.685,25.363234549516,24.873,53.512,53.512,3.532,3.85669993379985,30.5082892622352,30.069,49.641,49.641,2.596,4.08743838208936
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,21,Tor,10SauPaul-malaysia,g711,2.895,2.669,2.525,2.166,26.1525438988095,25.4775,54.999,54.999,3.57775,4.5501475275282,33.2272947598253,32.027,102.803,102.803,4.20375,8.24542166615799
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,22,Tor,10SauPaul-malaysia,g711,2.324,1.934,1.648,1.399,30.006152190052,26.526,270.879,270.879,4.4085,21.5364317168249,37.6026335766423,32.896,134.593,134.593,18.23525,18.9520738612458
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,23,Tor,10SauPaul-malaysia,g711,3.047,2.892,3.125,3.008,27.1832,26.888,43.091,43.091,3.252,3.49325529541266,32.8608462664715,32.218,61.325,61.325,3.9625,4.98279610014458
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,24,Tor,10SauPaul-malaysia,g711,3.274,3.23,3.132,3.019,23.7681756856931,23.698,37.572,37.572,1.612,2.71607652687177,28.3720387994144,27.789,52.647,52.647,2.69425,4.45081958464396
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,25,Tor,10SauPaul-malaysia,g711,2.437,2.06,2.285,1.893,30.8775949367089,27.797,156.225,156.225,6.983,12.2364345199607,35.2099731884058,33.397,84.807,84.807,6.15325,8.61550159750757
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,26,Tor,10SauPaul-malaysia,g711,3.041,2.884,2.397,2.014,27.7028371747212,27.269,52.292,52.292,3.296,4.47230384955273,33.3092565789474,31.7755,161.394,161.394,4.44175,12.9460465796751
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,27,Tor,10SauPaul-malaysia,g711,3.118,2.998,3.021,2.854,24.9659548148148,24.5175,43.729,43.729,2.49975,3.59840456907373,32.6835153508772,31.7775,65.87,65.87,3.81025,5.45299138575937
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,28,Tor,10SauPaul-malaysia,g711,3.068,2.924,2.844,2.595,26.9862868791698,26.489,48.296,48.296,3.196,3.90218336091211,32.8609692982456,32.059,73.02,73.02,4.2175,5.47465998334318
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,29,Tor,10SauPaul-malaysia,g711,3.352,3.345,3.123,3.006,24.6699243884359,24.044,47.557,47.557,2.291,3.93855018723447,28.5586258253852,27.965,63.144,63.144,2.7125,4.66950858655597
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,30,Tor,10SauPaul-malaysia,g711,3.175,3.084,2.976,2.787,24.2147296296296,24.124,35.888,35.888,2.11625,2.96904231630221,30.5394655929722,30.068,62.06,62.06,2.508,4.27032271351591
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,31,Tor,10SauPaul-malaysia,g711,3.147,3.042,2.972,2.781,24.6868812175204,24.17,59.681,59.681,2.1415,4.19750846700818,31.350904622157,30.765,61.434,61.434,3.4065,5.15440820515558
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,32,Tor,10SauPaul-malaysia,g711,3.02,2.852,2.964,2.768,25.2904468401487,24.834,53.653,53.653,2.042,4.05167192309026,26.8582489019034,26.433,44.95,44.95,2.72175,3.83373937037724
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,33,Tor,10SauPaul-malaysia,g711,2.916,2.699,2.924,2.711,24.2157064492217,23.949,38.085,38.085,1.921,3.01806311369965,32.3557024853801,31.821,56.798,56.798,3.76875,4.59651400638661
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,34,Tor,10SauPaul-malaysia,g711,2.99,2.808,2.842,2.592,29.0600288888889,26.4055,130.054,130.054,3.525,11.7634047906315,32.9917320644217,32.356,71.46,71.46,3.86275,5.41929728815358
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,35,Tor,10SauPaul-malaysia,g711,3.05,2.897,2.951,2.751,26.631574087863,26.562,39.638,39.638,2.983,3.18369152448595,32.8940751276441,31.813,67.575,67.575,4.1125,5.46441375845102
/home/jithin/data/IMC/NewData/Tor/2-hop/2hop_g711/10SauPaul-malaysia/caller/log.json,36,Tor,10SauPaul-malaysia,g711,3.051,2.897,2.921,2.706,24.4710014836795,24.1015,49.169,49.169,2.053,3.22126828047834,31.0111133186166,30.577,61.043,61.043,3.14,4.70973591908325
